cancer,edin,p50,is_tumor
KIRC,5.609999999999999,0.0435,True
KIRC,5.56,0.0611,False
KIRP,4.15,0.0500,True
KIRP,12.5,0.0417,False
LAML,4.64,0.0670,True
LGG,9.26,0.0476,True
LIHC,7.489999999999999,0.0691,True
LIHC,6.0,0.0769,False
LUAD,11.01,0.0588,True
LUAD,6.78,0.0812,False
LUSC,6.81,0.0435,True
LUSC,2.04,0.0370,False
MESO,5.81,0.0466,True
OV,7.6499999999999995,0.0294,True
PAAD,3.37,0.0488,True
PCPG,4.92,0.0476,True
PRAD,7.6,0.0526,True
PRAD,5.7700000000000005,0.0435,False
READ,7.61,0.0769,True
READ,10.0,0.0769,False
SARC,7.22,0.0385,True
SKCM,5.94,0.0357,True
STAD,7.7299999999999995,0.0303,True
STAD,6.25,0.0298,False
TGCT,8.97,0.0312,True
THCA,6.29,0.0476,True
THCA,1.72,0.0370,False
THYM,2.52,0.0286,True
UCEC,9.120000000000001,0.0588,True
UCEC,2.86,0.0426,False
UCS,8.93,0.0364,True
UVM,7.5,0.0714,True
LGG,0.19,0.0588,True
KIRC,0.19,0.0462,True
OV,0.26,0.0159,True
THCA,0.2,0.0833,True
ACC,6.329999999999999,0.0588,True
BLCA,1.47,0.0385,True
BLCA,5.26,0.0356,False
BRCA,3.54,0.0364,True
BRCA,1.77,0.0345,False
CESC,1.31,0.0333,True
CHOL,5.56,0.0588,True
CHOL,11.110000000000001,0.1000,False
COAD,2.86,0.0588,True
DLBC,2.08,0.0373,True
ESCA,1.8499999999999999,0.0234,True
GBM,1.1900000000000002,0.0389,True
HNSC,1.0,0.0345,True
KIRC,1.31,0.0357,True
KIRP,1.38,0.0270,True
LAML,2.65,0.0667,True
LGG,2.08,0.0370,True
LIHC,5.35,0.0625,True
LIHC,2.0,0.0909,False
LUAD,2.4699999999999998,0.0370,True
LUAD,3.39,0.0667,False
LUSC,1.6,0.0303,True
MESO,2.33,0.0333,True
OV,2.64,0.0213,True
PAAD,2.81,0.0456,True
PCPG,2.73,0.0417,True
PRAD,0.6,0.0345,True
READ,2.17,0.0521,True
SARC,2.6599999999999997,0.0323,True
SKCM,1.27,0.0270,True
STAD,2.13,0.0270,True
TGCT,1.28,0.0182,True
THCA,2.16,0.0400,True
UCEC,1.6400000000000001,0.0370,True
UCEC,2.86,0.0323,False
UCS,3.5700000000000003,0.0312,True
ACC,6.329999999999999,0.0351,True
BLCA,8.33,0.0357,True
BLCA,10.530000000000001,0.0448,False
BRCA,9.610000000000001,0.0385,True
BRCA,5.3100000000000005,0.0312,False
CESC,8.5,0.0357,True
CHOL,5.56,0.0357,True
CHOL,44.440000000000005,0.0733,False
COAD,7.5,0.0476,True
COAD,2.44,0.0909,False
DLBC,4.17,0.0254,True
ESCA,11.110000000000001,0.0294,True
GBM,9.520000000000001,0.0444,True
HNSC,7.6,0.0357,True
KICH,6.15,0.0541,True
KICH,4.17,0.0412,False
KIRC,8.41,0.0400,True
KIRC,9.719999999999999,0.0455,False
KIRP,7.61,0.0455,True
KIRP,12.5,0.0456,False
LAML,7.28,0.0667,True
LGG,6.619999999999999,0.0385,True
LIHC,14.97,0.0714,True
LIHC,10.0,0.1176,False
LUAD,9.87,0.0417,True
LUAD,8.469999999999999,0.0588,False
LUSC,8.02,0.0370,True
LUSC,2.04,0.0370,False
MESO,8.14,0.0482,True
OV,12.4,0.0357,True
PAAD,8.43,0.0488,True
PCPG,9.29,0.0500,True
PRAD,6.6000000000000005,0.0400,True
PRAD,3.85,0.0367,False
READ,8.7,0.0476,True
SARC,12.55,0.0351,True
SKCM,5.3100000000000005,0.0326,True
STAD,10.67,0.0312,True
TGCT,7.049999999999999,0.0256,True
THCA,6.68,0.0378,True
THCA,5.17,0.0412,False
THYM,6.72,0.0244,True
UCEC,9.67,0.0500,True
UCEC,2.86,0.0333,False
UCS,5.36,0.0236,True
UVM,6.25,0.0495,True
ACC,12.659999999999998,0.0501,True
BLCA,15.93,0.0435,True
BLCA,5.26,0.0417,False
BRCA,10.7,0.0385,True
BRCA,4.42,0.0324,False
CESC,8.17,0.0345,True
CESC,33.33,0.0800,False
CHOL,19.439999999999998,0.0476,True
CHOL,33.33,0.0909,False
COAD,6.79,0.0435,True
COAD,9.76,0.0670,False
DLBC,6.25,0.0303,True
ESCA,13.58,0.0301,True
GBM,9.520000000000001,0.0409,True
HNSC,9.4,0.0370,True
HNSC,2.27,0.0345,False
KICH,16.919999999999998,0.0646,True
KIRC,10.09,0.0400,True
KIRC,8.33,0.0357,False
KIRP,7.960000000000001,0.0417,True
KIRP,3.1199999999999997,0.0384,False
LAML,3.9699999999999998,0.0646,True
LGG,9.83,0.0357,True
LIHC,19.79,0.0667,True
LIHC,10.0,0.1000,False
LUAD,14.99,0.0473,True
LUAD,3.39,0.0488,False
LUSC,11.62,0.0385,True
LUSC,4.08,0.0333,False
MESO,12.790000000000001,0.0455,True
OV,15.040000000000001,0.0306,True
PAAD,12.36,0.0541,True
PCPG,12.02,0.0455,True
PRAD,9.6,0.0417,True
PRAD,5.7700000000000005,0.0333,False
READ,11.959999999999999,0.0556,True
SARC,14.829999999999998,0.0345,True
SARC,50.0,0.0652,False
SKCM,6.370000000000001,0.0317,True
STAD,10.13,0.0327,True
STAD,6.25,0.0158,False
TGCT,13.459999999999999,0.0244,True
THCA,10.61,0.0431,True
THCA,8.62,0.0435,False
THYM,10.08,0.0280,True
UCEC,13.87,0.0556,True
UCEC,17.14,0.0400,False
UCS,3.5700000000000003,0.0291,True
UVM,8.75,0.0588,True
SARC,0.38,0.0588,True
THCA,0.2,0.1071,True
ACC,40.510000000000005,0.0769,True
BLCA,35.29,0.0564,True
BLCA,31.580000000000002,0.0571,False
BRCA,42.43,0.0629,True
BRCA,29.2,0.0500,False
CESC,40.849999999999994,0.0556,True
CESC,66.67,0.0601,False
CHOL,27.779999999999998,0.0588,True
CHOL,22.220000000000002,0.0749,False
COAD,30.0,0.0625,True
COAD,21.95,0.0667,False
DLBC,39.58,0.0556,True
ESCA,54.94,0.0642,True
ESCA,27.27,0.0417,False
GBM,52.980000000000004,0.0741,True
GBM,80.0,0.0938,False
HNSC,44.4,0.0625,True
HNSC,34.089999999999996,0.0556,False
KICH,30.769999999999996,0.0742,True
KICH,33.33,0.0667,False
KIRC,31.4,0.0588,True
KIRC,27.779999999999998,0.0536,False
KIRP,32.87,0.0667,True
KIRP,25.0,0.0455,False
LAML,28.48,0.0714,True
LGG,43.86,0.0625,True
LIHC,29.409999999999997,0.0741,True
LIHC,18.0,0.0909,False
LUAD,37.19,0.0600,True
LUAD,16.950000000000003,0.0628,False
LUSC,38.879999999999995,0.0556,True
LUSC,18.37,0.0393,False
MESO,37.21,0.0616,True
OV,62.27,0.0756,True
PAAD,42.13,0.0714,True
PAAD,50.0,0.0667,False
PCPG,37.7,0.0645,True
PCPG,33.33,0.0541,False
PRAD,35.8,0.0588,True
PRAD,38.46,0.0588,False
READ,30.43,0.0714,True
READ,30.0,0.0774,False
SARC,52.849999999999994,0.0667,True
SARC,50.0,0.0465,False
SKCM,39.489999999999995,0.0571,True
STAD,46.93,0.0645,True
STAD,28.12,0.0561,False
TGCT,31.41,0.0459,True
THCA,43.03,0.0625,True
THCA,37.93,0.0625,False
THYM,42.86,0.0534,True
UCEC,36.86,0.0833,True
UCEC,48.57,0.0667,False
UCS,39.290000000000006,0.0488,True
UVM,30.0,0.0556,True
ACC,3.8,0.0667,True
BLCA,3.92,0.0400,True
BRCA,2.9899999999999998,0.0370,True
BRCA,5.3100000000000005,0.0340,False
CESC,2.29,0.0345,True
COAD,4.64,0.0541,True
COAD,2.44,0.0634,False
ESCA,4.32,0.0230,True
GBM,5.949999999999999,0.0455,True
HNSC,2.4,0.0345,True
KICH,12.5,0.0714,False
KIRC,3.36,0.0400,True
KIRC,5.56,0.0476,False
KIRP,5.88,0.0455,True
KIRP,3.1199999999999997,0.0420,False
LAML,3.9699999999999998,0.0667,True
LGG,5.48,0.0417,True
LIHC,2.94,0.0541,True
LUAD,5.6899999999999995,0.0500,True
LUAD,3.39,0.0364,False
LUSC,2.1999999999999997,0.0348,True
LUSC,2.04,0.0357,False
MESO,4.65,0.0476,True
OV,4.49,0.0270,True
PAAD,3.37,0.0420,True
PCPG,8.200000000000001,0.0588,True
PRAD,3.5999999999999996,0.0417,True
PRAD,5.7700000000000005,0.0417,False
READ,4.35,0.0584,True
SARC,5.7,0.0385,True
SKCM,3.4000000000000004,0.0345,True
STAD,3.47,0.0282,True
STAD,9.379999999999999,0.0526,False
THCA,6.68,0.0455,True
THCA,3.45,0.0500,False
THYM,3.36,0.0303,True
UCEC,4.5600000000000005,0.0526,True
UCEC,5.71,0.0500,False
UCS,1.79,0.0256,True
UVM,5.0,0.0769,True
ACC,2.53,0.0445,True
BLCA,6.13,0.0435,True
BLCA,5.26,0.0412,False
BRCA,6.17,0.0435,True
BRCA,0.88,0.0310,False
CESC,3.5900000000000003,0.0370,True
CHOL,2.78,0.0516,True
CHOL,11.110000000000001,0.1000,False
COAD,4.29,0.0478,True
COAD,2.44,0.0463,False
DLBC,2.08,0.0312,True
ESCA,13.58,0.0345,True
GBM,7.140000000000001,0.0401,True
HNSC,5.0,0.0445,True
HNSC,4.55,0.0769,False
KICH,6.15,0.0885,True
KICH,8.33,0.0667,False
KIRC,5.79,0.0455,True
KIRC,5.56,0.0455,False
KIRP,8.649999999999999,0.0556,True
KIRP,3.1199999999999997,0.0351,False
LAML,2.65,0.0455,True
LGG,5.29,0.0476,True
LIHC,6.419999999999999,0.0769,True
LIHC,8.0,0.1269,False
LUAD,7.969999999999999,0.0500,True
LUAD,3.39,0.0500,False
LUSC,5.81,0.0385,True
MESO,11.63,0.0588,True
OV,9.5,0.0303,True
PAAD,5.06,0.0588,True
PAAD,25.0,0.0769,False
PCPG,3.2800000000000002,0.0476,True
PCPG,33.33,0.1818,False
PRAD,3.5999999999999996,0.0435,True
PRAD,3.85,0.0563,False
READ,5.43,0.0769,True
SARC,6.08,0.0400,True
SKCM,5.1,0.0385,True
STAD,6.67,0.0278,True
STAD,3.1199999999999997,0.0294,False
TGCT,1.92,0.0238,True
THCA,4.130000000000001,0.0435,True
THCA,1.72,0.0364,False
THYM,4.2,0.0294,True
UCEC,8.39,0.0507,True
UCEC,2.86,0.0476,False
UCS,3.5700000000000003,0.0270,True
UVM,1.25,0.0400,True
ACC,7.59,0.0820,True
BLCA,10.780000000000001,0.0500,True
BLCA,21.05,0.0769,False
BRCA,9.43,0.0476,True
BRCA,5.3100000000000005,0.0476,False
CESC,9.48,0.0417,True
CHOL,8.33,0.0611,True
COAD,4.64,0.0500,True
COAD,4.88,0.0556,False
DLBC,4.17,0.0364,True
ESCA,12.959999999999999,0.0363,True
ESCA,18.18,0.0735,False
GBM,8.93,0.0378,True
GBM,20.0,0.0522,False
HNSC,9.0,0.0469,True
HNSC,6.819999999999999,0.0541,False
KICH,4.62,0.0801,True
KICH,12.5,0.0526,False
KIRC,9.91,0.0526,True
KIRC,5.56,0.0435,False
KIRP,8.649999999999999,0.0556,True
KIRP,15.620000000000001,0.0530,False
LAML,3.9699999999999998,0.0556,True
LGG,8.7,0.0500,True
LIHC,8.559999999999999,0.0742,True
LIHC,10.0,0.0909,False
LUAD,10.82,0.0588,True
LUAD,6.78,0.0711,False
LUSC,10.42,0.0455,True
LUSC,6.12,0.0575,False
MESO,19.77,0.0769,True
OV,16.89,0.0370,True
PAAD,7.3,0.0588,True
PAAD,25.0,0.0769,False
PCPG,7.1,0.0670,True
PCPG,33.33,0.0714,False
PRAD,9.0,0.0476,True
PRAD,7.6899999999999995,0.0500,False
READ,6.52,0.0769,True
SARC,13.69,0.0476,True
SKCM,7.64,0.0373,True
STAD,17.07,0.0435,True
STAD,12.5,0.0291,False
TGCT,7.049999999999999,0.0333,True
THCA,8.06,0.0488,True
THCA,3.45,0.0396,False
THYM,2.52,0.0278,True
UCEC,12.23,0.0588,True
UCEC,8.57,0.0447,False
UCS,7.140000000000001,0.0385,True
UVM,7.5,0.0506,True
BLCA,2.21,0.0625,True
BLCA,5.26,0.1176,False
BRCA,2.09,0.0476,True
BRCA,0.88,0.0435,False
CESC,0.98,0.0476,True
COAD,0.36,0.0500,True
DLBC,2.08,0.0566,True
ESCA,0.62,0.0189,True
GBM,1.1900000000000002,0.0345,True
HNSC,2.4,0.0526,True
KIRC,2.8000000000000003,0.0646,True
KIRC,2.78,0.0917,False
KIRP,0.35000000000000003,0.1000,True
LGG,2.27,0.0476,True
LIHC,1.87,0.0667,True
LUAD,2.2800000000000002,0.0588,True
LUAD,3.39,0.0955,False
LUSC,1.2,0.0385,True
LUSC,4.08,0.0778,False
MESO,8.14,0.0714,True
OV,2.37,0.0219,True
PAAD,2.25,0.0834,True
PCPG,0.5499999999999999,0.0526,True
PRAD,2.1999999999999997,0.0476,True
SARC,2.6599999999999997,0.0417,True
SKCM,1.91,0.0388,True
STAD,1.87,0.0260,True
STAD,3.1199999999999997,0.0513,False
TGCT,0.64,0.0268,True
THCA,0.98,0.0466,True
THYM,1.68,0.0322,True
UCEC,2.37,0.0476,True
UCS,5.36,0.0345,True
UVM,2.5,0.1032,True
ACC,2.53,0.0513,True
BLCA,4.66,0.0526,True
BLCA,5.26,0.1667,False
BRCA,3.81,0.0455,True
BRCA,6.1899999999999995,0.0596,False
CESC,3.92,0.0435,True
COAD,5.0,0.0714,True
COAD,2.44,0.0909,False
DLBC,2.08,0.0369,True
ESCA,9.879999999999999,0.0303,True
ESCA,9.09,0.0349,False
GBM,7.140000000000001,0.0385,True
HNSC,3.5999999999999996,0.0526,True
KICH,1.54,0.2000,True
KICH,4.17,0.0769,False
KIRC,5.79,0.0556,True
KIRC,2.78,0.0435,False
KIRP,4.5,0.0588,True
KIRP,9.379999999999999,0.0557,False
LAML,4.64,0.0513,True
LGG,8.129999999999999,0.0588,True
LIHC,2.1399999999999997,0.0625,True
LUAD,4.55,0.0526,True
LUAD,3.39,0.0467,False
LUSC,6.41,0.0556,True
LUSC,8.16,0.0646,False
MESO,5.81,0.0691,True
OV,7.6499999999999995,0.0303,True
PAAD,5.06,0.0714,True
PAAD,25.0,0.0714,False
PCPG,4.37,0.0714,True
PRAD,3.4000000000000004,0.0513,True
PRAD,3.85,0.0417,False
READ,6.52,0.0909,True
READ,20.0,0.0885,False
SARC,5.7,0.0500,True
SKCM,3.4000000000000004,0.0417,True
STAD,8.0,0.0312,True
TGCT,3.2099999999999995,0.0323,True
THCA,5.5,0.0526,True
THCA,3.45,0.0526,False
THYM,3.36,0.0318,True
UCEC,7.48,0.0625,True
UCS,3.5700000000000003,0.0370,True
UVM,3.75,0.0670,True
ACC,5.06,0.0679,True
BLCA,6.13,0.0526,True
BLCA,5.26,0.0556,False
BRCA,4.35,0.0500,True
BRCA,5.3100000000000005,0.0691,False
CESC,5.2299999999999995,0.0556,True
CHOL,2.78,0.0526,True
COAD,3.5700000000000003,0.0909,True
COAD,4.88,0.0885,False
DLBC,4.17,0.0526,True
ESCA,11.73,0.0315,True
ESCA,9.09,0.0417,False
GBM,9.520000000000001,0.0435,True
HNSC,5.6000000000000005,0.0526,True
HNSC,2.27,0.1250,False
KICH,1.54,0.2000,True
KICH,4.17,0.0455,False
KIRC,2.8000000000000003,0.0455,True
KIRC,8.33,0.0541,False
KIRP,1.73,0.0476,True
KIRP,6.25,0.0588,False
LAML,2.65,0.0588,True
LGG,3.5900000000000003,0.0500,True
LIHC,3.2099999999999995,0.0769,True
LUAD,4.55,0.0606,True
LUSC,6.41,0.0556,True
LUSC,2.04,0.0600,False
MESO,4.65,0.0834,True
OV,6.859999999999999,0.0274,True
PAAD,3.37,0.0588,True
PCPG,3.2800000000000002,0.0625,True
PRAD,3.4000000000000004,0.0528,True
PRAD,1.92,0.0455,False
READ,3.26,0.0635,True
SARC,4.9399999999999995,0.0455,True
SKCM,2.55,0.0345,True
STAD,7.199999999999999,0.0361,True
STAD,6.25,0.1333,False
TGCT,3.2099999999999995,0.0357,True
THCA,2.75,0.0606,True
THCA,1.72,0.1333,False
UCEC,8.21,0.0667,True
UCEC,8.57,0.0588,False
UCS,7.140000000000001,0.0364,True
UVM,3.75,0.0651,True
ACC,1.27,0.0500,True
BLCA,4.17,0.0556,True
BLCA,5.26,0.0526,False
BRCA,3.63,0.0588,True
BRCA,4.42,0.0714,False
CESC,5.56,0.0526,True
COAD,2.5,0.0646,True
DLBC,2.08,0.0324,True
ESCA,33.33,0.0476,True
ESCA,9.09,0.0469,False
GBM,25.6,0.0564,True
HNSC,4.2,0.0667,True
HNSC,2.27,0.0540,False
KICH,4.62,0.0909,True
KICH,4.17,0.0625,False
KIRC,3.74,0.0588,True
KIRC,2.78,0.0557,False
KIRP,4.15,0.0820,True
KIRP,6.25,0.1169,False
LAML,3.3099999999999996,0.0476,True
LGG,4.73,0.0691,True
LIHC,2.67,0.0714,True
LIHC,2.0,0.1000,False
LUAD,3.8,0.0691,True
LUAD,1.69,0.0635,False
LUSC,3.81,0.0500,True
MESO,5.81,0.0588,True
OV,33.25,0.0526,True
PAAD,3.37,0.0833,True
PCPG,1.09,0.0885,True
PRAD,3.8,0.0625,True
PRAD,1.92,0.0472,False
READ,4.35,0.0769,True
READ,10.0,0.0769,False
SARC,7.9799999999999995,0.0625,True
SKCM,3.4000000000000004,0.0476,True
STAD,24.8,0.0526,True
STAD,21.88,0.0588,False
TGCT,2.56,0.0370,True
THCA,3.54,0.0667,True
THCA,1.72,0.0953,False
THYM,4.2,0.0393,True
UCEC,14.23,0.0801,True
UCEC,2.86,0.1007,False
UCS,5.36,0.0367,True
UVM,2.5,0.0749,True
ACC,7.59,0.0909,True
BLCA,13.48,0.0588,True
BLCA,26.32,0.1000,False
BRCA,14.69,0.0714,True
BRCA,11.5,0.0667,False
CESC,11.76,0.0588,True
CESC,33.33,0.0588,False
CHOL,11.110000000000001,0.0839,True
COAD,7.5,0.0670,True
COAD,2.44,0.1072,False
DLBC,10.42,0.0532,True
ESCA,35.8,0.0500,True
GBM,21.43,0.0519,True
HNSC,13.4,0.0646,True
HNSC,6.819999999999999,0.0955,False
KICH,9.229999999999999,0.0833,True
KICH,12.5,0.0526,False
KIRC,10.84,0.0714,True
KIRC,18.060000000000002,0.0769,False
KIRP,7.2700000000000005,0.0606,True
KIRP,12.5,0.0748,False
LAML,3.9699999999999998,0.0714,True
LGG,14.74,0.0667,True
LIHC,2.94,0.0833,True
LUAD,10.440000000000001,0.0691,True
LUAD,1.69,0.0588,False
LUSC,12.629999999999999,0.0606,True
LUSC,12.24,0.1000,False
MESO,13.950000000000001,0.0801,True
OV,29.020000000000003,0.0482,True
PAAD,8.99,0.0714,True
PCPG,10.93,0.0769,True
PRAD,12.0,0.0625,True
PRAD,9.62,0.0833,False
READ,5.43,0.0769,True
READ,30.0,0.0833,False
SARC,18.63,0.0526,True
SKCM,12.31,0.0541,True
SKCM,100.0,0.1000,False
STAD,29.07,0.0588,True
STAD,15.620000000000001,0.0513,False
TGCT,5.13,0.0370,True
THCA,10.81,0.0667,True
THCA,6.9,0.0500,False
THYM,7.5600000000000005,0.0385,True
UCEC,8.76,0.0742,True
UCEC,5.71,0.0455,False
UCS,12.5,0.0556,True
UVM,8.75,0.0714,True
ACC,5.06,0.0769,True
BLCA,4.41,0.0556,True
BLCA,5.26,0.1818,False
BRCA,5.26,0.0625,True
BRCA,6.1899999999999995,0.0556,False
CESC,3.92,0.0588,True
COAD,3.2099999999999995,0.0625,True
COAD,4.88,0.0839,False
ESCA,16.05,0.0400,True
GBM,15.479999999999999,0.0455,True
HNSC,3.2,0.0526,True
KICH,1.54,0.0566,True
KICH,4.17,0.0833,False
KIRC,2.8000000000000003,0.0625,True
KIRC,2.78,0.0871,False
KIRP,1.38,0.0667,True
KIRP,3.1199999999999997,0.0526,False
LAML,1.32,0.1072,True
LGG,5.86,0.0588,True
LIHC,1.6,0.0909,True
LUAD,3.61,0.0591,True
LUSC,3.01,0.0556,True
LUSC,2.04,0.0395,False
MESO,3.49,0.0820,True
OV,11.61,0.0345,True
PAAD,4.49,0.0774,True
PCPG,3.2800000000000002,0.0917,True
PRAD,4.3999999999999995,0.0556,True
PRAD,5.7700000000000005,0.0833,False
READ,2.17,0.0749,True
SARC,4.5600000000000005,0.0556,True
SKCM,5.1,0.0526,True
STAD,14.399999999999999,0.0435,True
STAD,12.5,0.0571,False
TGCT,5.13,0.0417,True
THCA,5.11,0.0625,True
THYM,2.52,0.0362,True
UCEC,3.2800000000000002,0.0625,True
UCEC,5.71,0.0778,False
UCS,3.5700000000000003,0.0693,True
UVM,2.5,0.0769,True
ACC,6.329999999999999,0.0871,True
BLCA,6.859999999999999,0.0625,True
BLCA,5.26,0.0667,False
BRCA,12.24,0.0714,True
BRCA,7.08,0.0718,False
CESC,8.5,0.0572,True
CESC,33.33,0.1000,False
CHOL,8.33,0.0833,True
COAD,7.86,0.0833,True
COAD,2.44,0.0667,False
DLBC,12.5,0.0588,True
ESCA,25.31,0.0441,True
GBM,23.810000000000002,0.0541,True
HNSC,9.2,0.0588,True
HNSC,9.09,0.0718,False
KICH,4.62,0.1000,True
KICH,4.17,0.0635,False
KIRC,9.53,0.0769,True
KIRC,4.17,0.0778,False
KIRP,3.81,0.0667,True
KIRP,6.25,0.1000,False
LAML,5.96,0.0833,True
LGG,11.91,0.0667,True
LIHC,1.87,0.0833,True
LUAD,5.88,0.0667,True
LUAD,6.78,0.0588,False
LUSC,9.02,0.0625,True
LUSC,6.12,0.0714,False
MESO,10.47,0.0870,True
OV,17.94,0.0417,True
PAAD,6.18,0.0833,True
PAAD,25.0,0.1000,False
PCPG,6.01,0.0667,True
PRAD,12.2,0.0769,True
PRAD,9.62,0.0976,False
READ,8.7,0.0955,True
SARC,12.93,0.0646,True
SARC,50.0,0.1053,False
SKCM,11.25,0.0556,True
STAD,22.400000000000002,0.0500,True
STAD,25.0,0.0909,False
TGCT,8.33,0.0426,True
THCA,7.470000000000001,0.0691,True
THCA,6.9,0.0769,False
THYM,10.92,0.0691,True
UCEC,7.85,0.0714,True
UCEC,11.43,0.1538,False
UCS,8.93,0.0501,True
UVM,5.0,0.0691,True
ACC,1.27,0.1000,True
BLCA,3.19,0.0572,True
BLCA,5.26,0.1333,False
BRCA,5.89,0.0667,True
CESC,4.58,0.0526,True
COAD,1.43,0.0588,True
COAD,2.44,0.0667,False
DLBC,4.17,0.0513,True
ESCA,22.84,0.0460,True
ESCA,18.18,0.0370,False
GBM,19.05,0.0476,True
HNSC,3.8,0.0625,True
HNSC,2.27,0.0625,False
KICH,4.17,0.0526,False
KIRC,2.8000000000000003,0.0625,True
KIRC,1.39,0.0833,False
KIRP,4.5,0.0833,True
KIRP,6.25,0.0976,False
LAML,1.32,0.0679,True
LGG,4.54,0.0645,True
LIHC,1.34,0.0833,True
LUAD,2.2800000000000002,0.0667,True
LUAD,3.39,0.0763,False
LUSC,3.61,0.0625,True
LUSC,2.04,0.0476,False
MESO,4.65,0.0833,True
OV,21.64,0.0417,True
PAAD,4.49,0.0909,True
PAAD,25.0,0.1000,False
PCPG,2.73,0.0588,True
PRAD,4.6,0.0588,True
PRAD,1.92,0.0476,False
READ,4.35,0.0711,True
SARC,7.6,0.0667,True
SARC,50.0,0.1053,False
SKCM,3.61,0.0476,True
STAD,15.73,0.0462,True
STAD,6.25,0.0348,False
TGCT,1.92,0.0323,True
THCA,3.54,0.0769,True
THCA,1.72,0.0667,False
THYM,2.52,0.0455,True
UCEC,4.38,0.0742,True
UCEC,5.71,0.0800,False
UCS,5.36,0.0526,True
UVM,2.5,0.0680,True
ACC,2.53,0.0635,True
BLCA,4.41,0.0625,True
BLCA,15.790000000000001,0.0909,False
BRCA,6.069999999999999,0.0625,True
BRCA,2.65,0.0528,False
CESC,5.56,0.0625,True
CHOL,2.78,0.0833,True
COAD,3.93,0.0667,True
COAD,2.44,0.0667,False
ESCA,35.19,0.0488,True
ESCA,18.18,0.0270,False
GBM,24.4,0.0526,True
HNSC,4.3999999999999995,0.0556,True
HNSC,2.27,0.0625,False
KICH,8.33,0.0680,False
KIRC,5.79,0.0742,True
KIRC,4.17,0.0742,False
KIRP,5.54,0.0714,True
KIRP,3.1199999999999997,0.0667,False
LAML,1.32,0.0909,True
LGG,7.9399999999999995,0.0667,True
LIHC,1.34,0.0909,True
LUAD,3.8,0.0714,True
LUAD,1.69,0.0750,False
LUSC,6.61,0.0606,True
LUSC,6.12,0.0606,False
MESO,9.3,0.0833,True
OV,35.36,0.0526,True
PAAD,6.18,0.0769,True
PAAD,25.0,0.2000,False
PCPG,3.83,0.0742,True
PCPG,33.33,0.1000,False
PRAD,8.6,0.0667,True
PRAD,13.459999999999999,0.0714,False
READ,6.52,0.0839,True
SARC,9.51,0.0667,True
SARC,50.0,0.1053,False
SKCM,8.49,0.0556,True
STAD,25.6,0.0526,True
STAD,12.5,0.0435,False
TGCT,7.049999999999999,0.0556,True
THCA,4.52,0.0667,True
THCA,3.45,0.0812,False
THYM,3.36,0.0445,True
UCEC,6.39,0.0714,True
UCEC,5.71,0.0556,False
UCS,5.36,0.0431,True
UVM,5.0,0.0774,True
BLCA,4.66,0.0526,True
BLCA,5.26,0.0714,False
BRCA,4.26,0.0476,True
BRCA,1.77,0.0435,False
CESC,5.88,0.0488,True
CHOL,5.56,0.0472,True
COAD,3.2099999999999995,0.0588,True
DLBC,2.08,0.0318,True
ESCA,12.959999999999999,0.0364,True
GBM,6.550000000000001,0.0409,True
HNSC,4.0,0.0455,True
HNSC,2.27,0.0714,False
KICH,1.54,0.0769,True
KIRC,3.36,0.0476,True
KIRC,2.78,0.0435,False
KIRP,2.77,0.0588,True
KIRP,18.75,0.0667,False
LAML,1.32,0.0607,True
LGG,3.7800000000000002,0.0513,True
LIHC,2.41,0.0769,True
LIHC,2.0,0.0909,False
LUAD,4.74,0.0588,True
LUAD,3.39,0.0663,False
LUSC,3.81,0.0445,True
LUSC,6.12,0.0526,False
MESO,6.98,0.0714,True
OV,9.5,0.0294,True
PAAD,5.62,0.0646,True
PCPG,4.37,0.0500,True
PRAD,4.8,0.0588,True
PRAD,3.85,0.0667,False
READ,3.26,0.0501,True
SARC,3.42,0.0426,True
SKCM,3.82,0.0426,True
STAD,10.13,0.0417,True
STAD,3.1199999999999997,0.0390,False
TGCT,2.56,0.0312,True
THCA,5.5,0.0588,True
THCA,3.45,0.0500,False
THYM,1.68,0.0303,True
UCEC,4.74,0.0625,True
UCS,3.5700000000000003,0.0322,True
UVM,2.5,0.0945,True
ACC,13.919999999999998,0.0784,True
BLCA,28.189999999999998,0.0714,True
BLCA,10.530000000000001,0.0750,False
BRCA,36.720000000000006,0.0741,True
BRCA,21.240000000000002,0.0556,False
CESC,26.47,0.0526,True
CESC,33.33,0.0667,False
CHOL,38.89,0.0667,True
CHOL,11.110000000000001,0.1429,False
COAD,19.29,0.0714,True
COAD,9.76,0.0769,False
DLBC,20.830000000000002,0.0513,True
ESCA,69.14,0.0893,True
ESCA,36.36,0.0600,False
GBM,57.14,0.0833,True
GBM,60.0,0.0770,False
HNSC,28.999999999999996,0.0667,True
HNSC,11.360000000000001,0.0591,False
KICH,10.77,0.0871,True
KICH,16.669999999999998,0.0667,False
KIRC,28.22,0.0714,True
KIRC,33.33,0.0852,False
KIRP,16.61,0.0833,True
KIRP,40.62,0.0742,False
LAML,12.58,0.0714,True
LGG,35.35,0.0667,True
LIHC,18.45,0.0909,True
LIHC,10.0,0.0769,False
LUAD,26.76,0.0750,True
LUAD,13.56,0.0667,False
LUSC,36.67,0.0690,True
LUSC,18.37,0.0488,False
MESO,37.21,0.0839,True
OV,68.60000000000001,0.0952,True
PAAD,19.1,0.0667,True
PAAD,75.0,0.1333,False
PCPG,33.33,0.1000,True
